
Processing PeakSearchReadable.cxx...
Looking in directory /w/work2/home/oliver/APEX/peaksearch/JWMaster
401 files in search directory
For mass 209 MeV, p-value is 0.705366
For mass 210.25 MeV, p-value is 0.601799
For mass 210.5 MeV, p-value is 0.680807
For mass 210.75 MeV, p-value is 0.732943
For mass 210 MeV, p-value is 0.608159
For mass 211.25 MeV, p-value is 0.796352
For mass 211.5 MeV, p-value is 0.883328
For mass 211.75 MeV, p-value is 0.911009
For mass 211 MeV, p-value is 0.770854
For mass 212.25 MeV, p-value is 0.988563
For mass 212.5 MeV, p-value is 0.994634
For mass 212.75 MeV, p-value is 0.998186
For mass 212 MeV, p-value is 0.958469
For mass 213.25 MeV, p-value is 0.999084
For mass 213.5 MeV, p-value is 0.999403
For mass 213.75 MeV, p-value is 0.999848
For mass 213 MeV, p-value is 0.998555
For mass 214.25 MeV, p-value is 0.999836
For mass 214.5 MeV, p-value is 0.999688
For mass 214.75 MeV, p-value is 0.999542
For mass 214 MeV, p-value is 0.999835
For mass 215.25 MeV, p-value is 0.999334
For mass 215.5 MeV, p-value is 0.999286
For mass 215.75 MeV, p-value is 0.998791
For mass 215 MeV, p-value is 0.999362
For mass 216.25 MeV, p-value is 0.997419
For mass 216.5 MeV, p-value is 0.994381
For mass 216.75 MeV, p-value is 0.987958
For mass 216 MeV, p-value is 0.997645
For mass 217.25 MeV, p-value is 0.962774
For mass 217.5 MeV, p-value is 0.881354
For mass 217.75 MeV, p-value is 0.794112
For mass 217 MeV, p-value is 0.972943
For mass 218.25 MeV, p-value is 0.642991
For mass 218.5 MeV, p-value is 0.590848
For mass 218.75 MeV, p-value is 0.450098
For mass 218 MeV, p-value is 0.731978
For mass 219.25 MeV, p-value is 0.500524
For mass 219.5 MeV, p-value is 0.448001
For mass 219.75 MeV, p-value is 0.46632
For mass 219 MeV, p-value is 0.466772
For mass 220.25 MeV, p-value is 0.329985
For mass 220.5 MeV, p-value is 0.51266
For mass 220.75 MeV, p-value is 0.675547
For mass 220 MeV, p-value is 0.387292
For mass 221.25 MeV, p-value is 0.895118
For mass 221.5 MeV, p-value is 0.957573
For mass 221.75 MeV, p-value is 0.97622
For mass 221 MeV, p-value is 0.80467
For mass 222.25 MeV, p-value is 0.985385
For mass 222.5 MeV, p-value is 0.987943
For mass 222.75 MeV, p-value is 0.994275
For mass 222 MeV, p-value is 0.985076
For mass 223.25 MeV, p-value is 0.999035
For mass 223.5 MeV, p-value is 0.998744
For mass 223.75 MeV, p-value is 0.998125
For mass 223 MeV, p-value is 0.997524
For mass 224.25 MeV, p-value is 0.999265
For mass 224.5 MeV, p-value is 0.998023
For mass 224.75 MeV, p-value is 0.99833
For mass 224 MeV, p-value is 0.998343
